temp,band,vsini,resolution,cond1_aces,cond2_aces,cond3_aces,cond1_btsettl,cond2_btsettl,cond3_btsettl
3500,Y,10.0,60k,28.2,33.5,28.5,32.4,38.4,32.8
3500,Y,10.0,80k,23.0,27.3,23.3,26.7,31.5,27.0
3500,Y,10.0,100k,19.9,23.6,20.1,23.2,27.4,23.5
3500,J,1.0,60k,15.1,38.4,15.9,16.7,47.9,17.8
3500,J,1.0,80k,9.8,24.0,10.3,11.8,32.6,12.5
3500,J,1.0,100k,7.1,17.1,7.5,9.3,25.1,9.9
3500,J,5.0,60k,22.5,60.2,23.8,22.9,69.2,24.4
3500,J,5.0,80k,17.3,45.4,18.3,17.9,52.9,19.0
3500,J,5.0,100k,14.5,37.8,15.3,15.2,44.4,16.2
3500,J,10.0,60k,39.9,117.8,42.4,37.9,129.4,40.5
3500,J,10.0,80k,33.0,96.4,35.1,31.5,106.4,33.7
3500,J,10.0,100k,28.8,83.7,30.6,27.6,92.6,29.5
3500,H,1.0,60k,7.7,12.4,7.9,7.7,12.4,7.9
3500,H,1.0,80k,5.4,8.8,5.6,5.4,8.8,5.5
3500,H,1.0,100k,4.3,6.9,4.4,4.3,6.9,4.4
3500,H,5.0,60k,10.7,17.1,10.9,10.9,17.5,11.2
3500,H,5.0,80k,8.3,13.3,8.5,8.4,13.5,8.6
3500,H,5.0,100k,7.1,11.3,7.2,7.1,11.4,7.3
3500,H,10.0,60k,18.1,28.7,18.5,19.5,31.4,20.0
3500,H,10.0,80k,15.0,23.9,15.4,16.1,26.0,16.6
3500,H,10.0,100k,13.1,20.9,13.5,14.1,22.7,14.5
3500,K,1.0,60k,13.5,49.0,14.4,12.1,43.8,13.0
3500,K,1.0,80k,9.0,32.7,9.6,8.4,30.1,8.9
3500,K,1.0,100k,6.8,24.8,7.3,6.5,23.3,7.0
3500,K,5.0,60k,20.4,71.7,21.7,17.6,62.6,18.8
3500,K,5.0,80k,15.5,55.2,16.5,13.5,48.4,14.4
3500,K,5.0,100k,13.0,46.4,13.9,11.4,40.8,12.1
3500,K,10.0,60k,37.5,126.6,39.9,31.8,109.6,34.0
3500,K,10.0,80k,30.9,104.6,33.0,26.3,90.7,28.1
3500,K,10.0,100k,27.0,91.3,28.8,23.0,79.3,24.6
2800,Z,1.0,60k,4.4,8.4,4.5,4.0,7.6,4.2
2800,Z,1.0,80k,2.6,5.1,2.7,2.6,4.8,2.7
2800,Z,1.0,100k,1.8,3.6,1.9,1.9,3.5,1.9
2800,Z,5.0,60k,7.2,13.7,7.5,6.3,11.7,6.6
2800,Z,5.0,80k,5.4,10.3,5.6,4.8,8.8,4.9
2800,Z,5.0,100k,4.4,8.5,4.6,4.0,7.3,4.1
2800,Z,10.0,60k,14.6,27.3,15.2,12.6,22.8,13.0
2800,Z,10.0,80k,11.9,22.4,12.4,10.3,18.6,10.6
2800,Z,10.0,100k,10.3,19.3,10.7,8.9,16.2,9.2
2800,Y,1.0,60k,5.8,7.4,5.9,11.7,14.0,11.9
2800,Y,1.0,80k,3.7,4.8,3.8,7.6,9.1,7.7
2800,Y,1.0,100k,2.7,3.5,2.7,5.6,6.7,5.7
2800,Y,5.0,60k,8.7,10.7,8.8,17.7,21.3,17.9
2800,Y,5.0,80k,6.7,8.3,6.8,13.5,16.2,13.7
2800,Y,5.0,100k,5.6,7.0,5.7,11.3,13.6,11.4
2800,Y,10.0,60k,14.7,17.5,14.9,32.5,39.0,32.9
2800,Y,10.0,80k,12.2,14.6,12.4,26.8,32.1,27.1
2800,Y,10.0,100k,10.7,12.8,10.8,23.3,28.0,23.6
2800,J,1.0,60k,8.8,23.2,9.3,11.0,31.7,11.8
2800,J,1.0,80k,5.5,14.4,5.8,7.6,21.5,8.1
2800,J,1.0,100k,4.0,10.2,4.2,5.8,16.3,6.2
2800,J,5.0,60k,13.5,35.9,14.3,15.6,45.3,16.7
2800,J,5.0,80k,10.3,27.3,10.9,12.1,35.1,13.0
2800,J,5.0,100k,8.6,22.8,9.1,10.2,29.6,10.9
2800,J,10.0,60k,24.3,63.8,25.7,26.7,78.5,28.5
2800,J,10.0,80k,20.1,52.9,21.2,22.2,65.1,23.7
2800,J,10.0,100k,17.5,46.1,18.5,19.4,57.0,20.7
2800,H,1.0,60k,6.6,12.8,6.9,5.7,11.1,5.9
2800,H,1.0,80k,4.4,8.5,4.6,3.9,7.5,4.0
2800,H,1.0,100k,3.3,6.4,3.5,3.0,5.8,3.1
2800,H,5.0,60k,9.8,18.8,10.2,8.4,16.4,8.7
2800,H,5.0,80k,7.5,14.4,7.8,6.5,12.6,6.7
2800,H,5.0,100k,6.3,12.1,6.5,5.4,10.5,5.6
2800,H,10.0,60k,17.8,34.7,18.4,15.6,31.0,16.2
2800,H,10.0,80k,14.7,28.7,15.2,12.9,25.5,13.3
2800,H,10.0,100k,12.8,25.0,13.3,11.2,22.2,11.6
2800,K,1.0,60k,8.2,27.0,8.7,7.1,22.9,7.5
2800,K,1.0,80k,5.4,17.9,5.7,4.8,15.6,5.1
2800,K,1.0,100k,4.0,13.5,4.3,3.7,12.0,4.0
2800,K,5.0,60k,12.4,39.7,13.2,10.3,33.3,11.0
2800,K,5.0,80k,9.4,30.5,10.0,7.9,25.6,8.4
2800,K,5.0,100k,7.9,25.6,8.4,6.6,21.5,7.1
2800,K,10.0,60k,23.0,70.7,24.6,19.1,59.6,20.4
2800,K,10.0,80k,19.0,58.5,20.3,15.8,49.3,16.8
2800,K,10.0,100k,16.6,51.1,17.7,13.8,43.0,14.7
2600,Z,1.0,60k,3.7,7.7,3.9,3.4,6.5,3.6
2600,Z,1.0,80k,2.2,4.6,2.3,2.2,4.2,2.3
2600,Z,1.0,100k,1.5,3.2,1.6,1.6,3.0,1.7
2600,Z,5.0,60k,6.1,12.5,6.4,5.4,10.0,5.6
2600,Z,5.0,80k,4.6,9.4,4.8,4.0,7.6,4.2
2600,Z,5.0,100k,3.8,7.8,3.9,3.4,6.3,3.5
2600,Z,10.0,60k,12.3,24.9,12.9,10.6,19.6,11.0
2600,Z,10.0,80k,10.1,20.4,10.5,8.7,16.0,9.0
2600,Z,10.0,100k,8.7,17.6,9.1,7.5,13.9,7.8
2600,Y,1.0,60k,4.8,6.3,4.9,7.7,9.2,7.8
2600,Y,1.0,80k,3.0,4.0,3.1,5.0,5.9,5.0
2600,Y,1.0,100k,2.1,2.9,2.2,3.6,4.4,3.7
2600,Y,5.0,60k,7.2,9.1,7.3,11.7,14.2,11.9
2600,Y,5.0,80k,5.6,7.0,5.6,8.9,10.8,9.0
2600,Y,5.0,100k,4.7,5.9,4.7,7.4,9.0,7.5
2600,Y,10.0,60k,12.1,14.6,12.2,22.0,26.3,22.2
2600,Y,10.0,80k,10.1,12.2,10.2,18.0,21.6,18.3
2600,Y,10.0,100k,8.8,10.7,8.9,15.7,18.8,15.9
2600,J,1.0,60k,6.4,17.1,6.8,8.1,24.0,8.6
2600,J,1.0,80k,4.0,10.5,4.2,5.4,16.0,5.8
2600,J,1.0,100k,2.8,7.4,3.0,4.1,12.0,4.4
2600,J,5.0,60k,10.0,26.9,10.6,11.7,35.0,12.5
2600,J,5.0,80k,7.6,20.4,8.0,9.0,26.9,9.6
2600,J,5.0,100k,6.3,17.0,6.7,7.6,22.6,8.1
2600,J,10.0,60k,18.1,47.2,19.1,20.8,60.7,22.2
2600,J,10.0,80k,15.0,39.2,15.8,17.2,50.4,18.3
2600,J,10.0,100k,13.0,34.2,13.8,15.0,44.1,16.0
2600,H,1.0,60k,5.2,10.2,5.4,4.6,9.1,4.8
2600,H,1.0,80k,3.4,6.7,3.5,3.1,6.2,3.2
2600,H,1.0,100k,2.6,5.1,2.7,2.4,4.7,2.5
2600,H,5.0,60k,7.8,15.4,8.0,6.8,13.5,7.0
2600,H,5.0,80k,5.9,11.7,6.2,5.2,10.3,5.4
2600,H,5.0,100k,5.0,9.8,5.2,4.4,8.6,4.5
2600,H,10.0,60k,14.2,28.9,14.7,12.6,25.5,13.0
2600,H,10.0,80k,11.7,23.8,12.1,10.3,21.0,10.7
2600,H,10.0,100k,10.2,20.7,10.6,9.0,18.3,9.4
2600,K,1.0,60k,6.2,20.2,6.6,5.7,18.8,6.1
2600,K,1.0,80k,4.0,13.2,4.3,3.9,12.9,4.2
2600,K,1.0,100k,3.0,9.9,3.2,3.0,9.9,3.2
2600,K,5.0,60k,9.4,30.1,10.0,8.3,27.2,8.9
2600,K,5.0,80k,7.1,23.0,7.6,6.4,20.9,6.8
2600,K,5.0,100k,6.0,19.3,6.4,5.3,17.6,5.7
2600,K,10.0,60k,17.4,54.0,18.6,15.2,48.5,16.2
2600,K,10.0,80k,14.4,44.7,15.3,12.5,40.1,13.4
2600,K,10.0,100k,12.5,39.1,13.4,10.9,35.0,11.7
